"Kapx","r","b","beta","init.size","Kexact","rcrit","p.colonization.from.one","poiss.imm","p.colonization.from.rcrit","p.colonization.to.rcrit","t.extinction.from.Kexact","t.extinction.from.rcrit"
100,0.5,10,20,0.5,77.0156211871642,12.9843788128358,0.00326311898867674,0.00408767652191522,0.222382875881379,0.0260719215053463,235.519248224235,72.5595363818284
150,0.5,10,20,0.5,128.309518948453,11.690481051547,0.00263257979800888,0.0033180626048554,0.179201880057613,0.0298997786508357,22568.8137079761,6834.09544807768
100,1,10,20,0.5,77.0156211871642,12.9843788128358,0.000536501461238507,0.000963590238491543,0.252484882483586,0.00498406859448977,1391.01412400712,424.888782141735
150,1,10,20,0.5,128.309518948453,11.690481051547,0.000503981633383803,0.000907818241786164,0.214469630081154,0.00626668329889873,14838757.9969954,4862412.67924589
100,1.5,10,20,0.5,77.0156211871642,12.9843788128358,6.22551724793904e-05,0.000200457549607222,0.276216152224851,0.000615299914829314,9401.72956994608,2885.08632573792
150,1.5,10,20,0.5,128.309518948453,11.690481051547,6.65612836090164e-05,0.000214160987792932,0.240546149917699,0.000865160691403255,1191844823.28053,393555944.346369
50,0.5,4,6,1,43.712315177208,2.28768482279202,0.0295798829776151,NA,0.121952760504704,0.331494734902506,863.614372446117,158.607993579681
100,0.5,4,6,1,93.8693797647189,2.13062023528114,0.0205990632331709,NA,0.0912036345878434,0.332924634861186,7795254.21475317,1598161.69012342
150,0.5,4,6,1,143.915442605966,2.08455739403441,0.0168503302372489,NA,0.076477009994403,0.333401445723193,1869969273.72132,397301678.78646
50,1,4,6,1,43.712315177208,2.28768482279202,0.0283576428503308,NA,0.155911616771471,0.300297404450956,31162.9745041609,7217.88458042998
100,1,4,6,1,93.8693797647189,2.13062023528114,0.0205294539351358,NA,0.122887988317398,0.303108679077432,2312700537.38003,600356634.584124
150,1,4,6,1,143.915442605966,2.08455739403441,0.0169205402174909,NA,0.104774579688223,0.304047052658299,1860405396.21068,498888188.49313
50,1.5,4,6,1,43.712315177208,2.28768482279202,0.0255669909147139,NA,0.18301629090115,0.269823497646226,739692.656178356,187581.784368352
100,1.5,4,6,1,93.8693797647189,2.13062023528114,0.0188575938830837,NA,0.14926508230023,0.273924018507881,2197212032.28065,626303032.21097
150,1.5,4,6,1,143.915442605966,2.08455739403441,0.0156246182070454,NA,0.128982412790381,0.275295106709748,1864737322.36882,550000585.772789
50,0.5,5,7.5,1,42.0256241897666,2.97437581023336,0.0263142684866443,0.0308860343558376,0.157513077632751,0.241629891342173,428.966168641635,65.0659070320151
100,0.5,5,7.5,1,92.2911821679223,2.70881783207771,0.0180077102540948,0.0220207401582311,0.120753050167528,0.243192202410082,2284154.63232507,387243.559532789
150,0.5,5,7.5,1,142.365943062411,2.63405693758939,0.0147093144657261,0.0182390097337421,0.102466660045766,0.243712380825577,1806331569.7896,320429899.607091
50,1,5,7.5,1,42.0256241897666,2.97437581023336,0.0228194059946784,0.0317966071318414,0.201004433338191,0.204463222762243,6878.2278472762,1178.67034499307
100,1,5,7.5,1,92.2911821679223,2.70881783207771,0.0165522778919588,0.0242827081791169,0.166073092484342,0.207521514616912,2279796454.21014,457113950.087268
150,1,5,7.5,1,142.365943062411,2.63405693758939,0.0136550366012464,0.02045370485789,0.144288163411521,0.20854016231819,1853189726.08133,388127427.432728
50,1.5,5,7.5,1,42.0256241897666,2.97437581023336,0.0188248266382406,0.0313807423839988,0.237079365683198,0.169668115111523,96417.7364338455,16821.9096650396
100,1.5,5,7.5,1,92.2911821679223,2.70881783207771,0.0140479031778356,0.0249764994559574,0.20547941410111,0.174036292462198,2228596300.35336,460228728.025865
150,1.5,5,7.5,1,142.365943062411,2.63405693758939,0.01167677911343,0.0213534890519365,0.18204486492271,0.175494862151586,1859626736.32761,402784891.94067
50,0.5,6,9,1,40.2756668824971,3.72433311750293,0.0238914442305722,0.0277770931479185,0.189792805066669,0.184081517668046,241.147044631638,50.1943413694694
100,0.5,6,9,1,90.692104549907,3.30789545009305,0.0158995908520309,0.0192513678592979,0.104473547677584,0.237781878775085,745695.819370862,172963.194565964
150,0.5,6,9,1,140.804069647078,3.19593035292171,0.0130037020868443,0.0159494695822499,0.08853433029476,0.238303953594797,1620642332.53875,397275692.434601
