"number.immigrants","p.establish","Kapx","r","b","beta","init.size","Kexact","rcrit"
"2",0.00856004552007901,50,1,7,14,0.5,32.0948100502085,10.9051899497915
"3",0.0195333668135245,50,1,7,14,0.5,32.0948100502085,10.9051899497915
"4",0.0369636878023079,50,1,7,14,0.5,32.0948100502085,10.9051899497915
"5",0.0615775704813177,50,1,7,14,0.5,32.0948100502085,10.9051899497915
"6",0.093264484173628,50,1,7,14,0.5,32.0948100502085,10.9051899497915
"7",0.131177065728188,50,1,7,14,0.5,32.0948100502085,10.9051899497915
"8",0.173976285088854,50,1,7,14,0.5,32.0948100502085,10.9051899497915
"9",0.220109983594,50,1,7,14,0.5,32.0948100502085,10.9051899497915
"10",0.268047215218204,50,1,7,14,0.5,32.0948100502085,10.9051899497915
"1",0.00182028224811481,100,1,7,14,0.5,84.7393776099978,8.26062239000222
"2",0.00600156615836534,100,1,7,14,0.5,84.7393776099978,8.26062239000222
"3",0.0138726278310703,100,1,7,14,0.5,84.7393776099978,8.26062239000222
"4",0.0267107230069809,100,1,7,14,0.5,84.7393776099978,8.26062239000222
"5",0.0455453506775751,100,1,7,14,0.5,84.7393776099978,8.26062239000222
"6",0.0710738086535914,100,1,7,14,0.5,84.7393776099978,8.26062239000222
"7",0.10364861837454,100,1,7,14,0.5,84.7393776099978,8.26062239000222
"1",0.00157703391852152,150,1,7,14,0.5,135.235782728386,7.76421727161421
"2",0.00521685973704985,150,1,7,14,0.5,135.235782728386,7.76421727161421
"3",0.0121086005166848,150,1,7,14,0.5,135.235782728386,7.76421727161421
"4",0.0234445208657075,150,1,7,14,0.5,135.235782728386,7.76421727161421
"5",0.0402807187572202,150,1,7,14,0.5,135.235782728386,7.76421727161421
"6",0.0634873534777759,150,1,7,14,0.5,135.235782728386,7.76421727161421
"7",0.0937409587542201,150,1,7,14,0.5,135.235782728386,7.76421727161421
"1",0.00201104168972199,50,1,8,16,0.5,27.4031242374328,14.5968757625672
"2",0.00655351134296577,50,1,8,16,0.5,27.4031242374328,14.5968757625672
"3",0.0151525068808111,50,1,8,16,0.5,27.4031242374328,14.5968757625672
"4",0.0293266769319207,50,1,8,16,0.5,27.4031242374328,14.5968757625672
"5",0.05021248061907,50,1,8,16,0.5,27.4031242374328,14.5968757625672
"6",0.0782883423275361,50,1,8,16,0.5,27.4031242374328,14.5968757625672
"7",0.113288576648334,50,1,8,16,0.5,27.4031242374328,14.5968757625672
"8",0.154305290686784,50,1,8,16,0.5,27.4031242374328,14.5968757625672
"9",0.200008061797454,50,1,8,16,0.5,27.4031242374328,14.5968757625672
"10",0.2488915633955,50,1,8,16,0.5,27.4031242374328,14.5968757625672
"11",0.299482733677794,50,1,8,16,0.5,27.4031242374328,14.5968757625672
"12",0.350476582662139,50,1,8,16,0.5,27.4031242374328,14.5968757625672
"13",0.400801462357724,50,1,8,16,0.5,27.4031242374328,14.5968757625672
"14",0.449631460198745,50,1,8,16,0.5,27.4031242374328,14.5968757625672
"1",0.00122224957044621,100,1,8,16,0.5,82.2767142944341,9.72328570556589
"2",0.00401609945807735,100,1,8,16,0.5,82.2767142944341,9.72328570556589
"3",0.00937047993030039,100,1,8,16,0.5,82.2767142944341,9.72328570556589
"4",0.0183465151143024,100,1,8,16,0.5,82.2767142944341,9.72328570556589
"5",0.0319109091391268,100,1,8,16,0.5,82.2767142944341,9.72328570556589
"6",0.0508198096764584,100,1,8,16,0.5,82.2767142944341,9.72328570556589
"7",0.075564896634936,100,1,8,16,0.5,82.2767142944341,9.72328570556589
"8",0.106361200040625,100,1,8,16,0.5,82.2767142944341,9.72328570556589
"9",0.143151620187821,100,1,8,16,0.5,82.2767142944341,9.72328570556589
"1",0.00107785898079346,150,1,8,16,0.5,132.975801729385,9.02419827061534
"2",0.00355151521913051,150,1,8,16,0.5,132.975801729385,9.02419827061534
"3",0.00831213345345739,150,1,8,16,0.5,132.975801729385,9.02419827061534
"4",0.0163390407214763,150,1,8,16,0.5,132.975801729385,9.02419827061534
"5",0.0285747264002657,150,1,8,16,0.5,132.975801729385,9.02419827061534
"6",0.0458462800991739,150,1,8,16,0.5,132.975801729385,9.02419827061534
"7",0.068832929042702,150,1,8,16,0.5,132.975801729385,9.02419827061534
