"Kapx","r","b","beta","init.size","Kexact","rcrit","p.colonization.from.one","poiss.imm","p.colonization.from.rcrit","p.colonization.to.rcrit","t.extinction.from.Kexact","t.extinction.from.rcrit"
250,1,8,12,0.5,237.794691660195,4.2053083398051,0.00650625492886858,0.00875341101151901,0.0842757335508137,0.143658866469804,1159806597.94631,328291961.844476
50,1,9,13.5,0.5,34.4731886124821,6.52681138751788,0.0138381338538821,0.0173288135639978,0.280594673689139,0.0742869214916172,56.1141682541974,19.4246261576036
75,1,9,13.5,0.5,60.4135003237456,5.5864996762544,0.0102737953174765,0.0132233083317497,0.204940966134899,0.0902933067117888,1821.4448956138,473.208013438584
100,1,9,13.5,0.5,85.7523291251575,5.24767087484253,0.00888568952305818,0.0115758861030024,0.144141385715215,0.110660464581762,207396.458990584,59882.5277382899
150,1,9,13.5,0.5,136.03815682486,4.96184317513958,0.00735666649083771,0.00969857200703146,0.127049386047985,0.111507051809645,1333986242.6892,306124726.621937
200,1,9,13.5,0.5,186.165594356404,4.83440564359597,0.00641824945540537,0.00851544434944456,0.114717628914107,0.111927700795541,1301953623.86717,311650553.456848
250,1,9,13.5,0.5,236.237850334279,4.76214966572086,0.00576662426812537,0.0076820923558793,0.105402968524153,0.112179238650398,1150002488.2868,281928753.736994
50,1,10,15,0.5,32.2474487139159,7.75255128608411,0.0126375442874747,0.0157490110989438,0.304332301627379,0.0604391773607269,39.9026767785581,15.7900789525023
75,1,10,15,0.5,58.6007662722764,6.39923372772363,0.00899967838732346,0.0115093903202832,0.178067208710988,0.0870661946151718,873.103109226973,249.966220957192
100,1,10,15,0.5,84.0512483795333,5.94875162046672,0.0078677956829752,0.0101782781336171,0.168100775453087,0.087974005700864,76676.9754094385,18877.2398294044
150,1,10,15,0.5,134.420493633626,5.57950636637436,0.00653709647634028,0.0085520915625981,0.150780091821916,0.0888687690560854,1018601836.0502,280299483.346885
200,1,10,15,0.5,184.582364335845,5.41763566415541,0.00569696494433985,0.0074977220790298,0.0999006805878951,0.108747632809158,1306435877.39886,377216130.26155
250,1,10,15,0.5,234.673449411797,5.32655058820285,0.0051269946302347,0.00677305209023488,0.0917756999150323,0.109004366761846,1166544582.61343,346035388.380701
25,1,2,4,0.5,20.5691785736085,2.43082142639147,0.03438135075443,NA,0.189257907618473,0.240268698886663,41.2625235099959,9.58757162767188
50,1,2,4,0.5,45.8174242292714,2.18257577072857,0.0225965537298957,NA,0.144131873237588,0.244465210660289,4787.51629209499,1003.27089843366
75,1,2,4,0.5,70.8838624939084,2.11613750609161,0.0185533313001081,NA,0.124052169004968,0.245867954726442,1560435.52168189,347665.719446243
100,1,2,4,0.5,95.9148164229596,2.0851835770404,0.0161410564237722,NA,0.110718365594896,0.246570033306088,509952444.61495,116876118.801752
150,1,2,4,0.5,145.94442299442,2.05557700558019,0.0132515480671366,NA,0.0935435037476325,0.247272575228684,1467454850.04959,345333919.533861
200,1,2,4,0.5,195.958754117408,2.04124588259191,0.0115124740917672,NA,0.0826069329942415,0.247624018142911,1263244022.77593,301053813.54371
250,1,2,4,0.5,245.967208707915,2.03279129208541,0.0103184840993559,NA,0.0748473036777013,0.247834938608247,1133881154.97593,272232282.766499
25,1,3,6,0.5,17.7823299831253,4.21767001687473,0.0228212093684202,0.034186310959462,0.295507671277846,0.1074405801742,20.3315166128003,8.60406877271907
50,1,3,6,0.5,43.5561711201316,3.44382887986842,0.0134784488551423,0.021853420690814,0.154448626532041,0.148434072273744,987.850007476726,219.849850269171
75,1,3,6,0.5,68.7261363439071,3.27386365609286,0.0111023570371856,0.0184997454165136,0.135867041640979,0.149847994692307,205294.843494478,50208.4667569773
100,1,3,6,0.5,93.8017659699928,3.19823403000718,0.00969115314865344,0.0163816767951201,0.122716384719663,0.150555588154639,68507330.5938361,17544510.1995771
150,1,3,6,0.5,143.872224634439,3.1277753655606,0.0079825284770925,0.0137118658061366,0.104987264972286,0.151263570738882,1477123903.8737,394503851.743144
200,1,3,6,0.5,193.905712617222,3.09428738277775,0.00694554679218611,0.0120403922248305,0.0933327567272398,0.151617700432854,1267625258.91521,345295871.925475
250,1,3,6,0.5,243.925288042006,3.07471195799447,0.0062305052429284,0.0108667798151662,0.0849224175453915,0.151830220816019,1141327675.41842,314482090.059055
25,1,4,8,0.5,13.7015621187164,7.29843788128358,0.0181655703262571,0.0283578260729984,0.514944354801563,0.0428528470849136,12.169530577434,8.43933664066131
50,1,4,8,0.5,41.138357147217,4.86164285278295,0.00863440839473014,0.0143247386148872,0.225884773558708,0.0708603041492205,281.025996070981,62.8077907735706
75,1,4,8,0.5,66.4879008646923,4.51209913530767,0.00710044301449042,0.012063807933204,0.208926096959213,0.0723271722378815,35146.5807536244,8758.94108097221
100,1,4,8,0.5,91.6348484585428,4.36515154145714,0.00618891173703382,0.0106400755626921,0.131723717107844,0.0948244008358057,9044769.54899006,2414251.90478518
150,1,4,8,0.5,141.767724987817,4.23227501218322,0.00513379905608303,0.00893767712352128,0.11435396793329,0.0955400823307838,1493899226.89473,423778421.312108
200,1,4,8,0.5,191.829632845919,4.17036715408081,0.00448182565328422,0.00785766858903458,0.102436697066642,0.0958978479055236,1283371194.42166,374418566.614702
250,1,4,8,0.5,241.86547017532,4.13452982467953,0.00402817489036728,0.00709495666979509,0.0936499667752906,0.0961124771832503,1151448574.5064,341413398.184211
50,1,5,10,0.5,38.5078105935821,6.49218940641788,0.00560461308117992,0.00946137340649036,0.218136494754831,0.045897960600282,106.411852201273,32.497058128388
75,1,5,10,0.5,64.1547594742265,5.8452405257735,0.00461727760044484,0.00795531043776712,0.20594465988486,0.0473534971778377,7520.37988847974,1829.0573770159
